run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.returns_std_dev,metrics.returns_median,metrics.total_net_sales_median,metrics.net_quantity_median,metrics.net_quantity_mean,metrics.gross_sales_mean,metrics.discounts_mean,metrics.net_quantity_std_dev,metrics.discounts_std_dev,metrics.total_net_sales_std_dev,metrics.total_net_sales_mean,metrics.gross_sales_median,metrics.returns_mean,metrics.gross_sales_std_dev,metrics.discounts_median,tags.mlflow.user,tags.mlflow.source.name,tags.operation,tags.mlflow.source.type,tags.changed_at,tags.mlflow.runName
ac1327d718504b7b953fc0c6b87c1ca1,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/ac1327d718504b7b953fc0c6b87c1ca1/artifacts,2023-07-28 12:24:16.211000+00:00,2023-07-28 12:24:20.423000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,DELETE,LOCAL,2023-07-20 10:18:48.190631,2023-07-20 10:18:48
2bb304c1df60464eae9649b78c663d9b,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/2bb304c1df60464eae9649b78c663d9b/artifacts,2023-07-28 12:16:47.128000+00:00,2023-07-28 12:16:50.976000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,INSERT,LOCAL,2023-07-28 16:09:18.608285,2023-07-28 16:09:18
51b61b5257304de7aa2ab1e95eef5aa0,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/51b61b5257304de7aa2ab1e95eef5aa0/artifacts,2023-07-28 12:16:43.080000+00:00,2023-07-28 12:16:47.096000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,INSERT,LOCAL,2023-07-28 15:13:53.513657,2023-07-28 15:13:53
344ec9fdaf704eefabe2e354ced0e176,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/344ec9fdaf704eefabe2e354ced0e176/artifacts,2023-07-28 12:16:38.633000+00:00,2023-07-28 12:16:43.049000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,INSERT,LOCAL,2023-07-21 11:40:45.024228,2023-07-21 11:40:45
8532b414cb1e4c618107fe452c6dcaca,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/8532b414cb1e4c618107fe452c6dcaca/artifacts,2023-07-28 12:16:34.031000+00:00,2023-07-28 12:16:38.603000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,INSERT,LOCAL,2023-07-21 11:09:28.403702,2023-07-21 11:09:28
df6acf5f08cb4066b7fac08416266ddb,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/df6acf5f08cb4066b7fac08416266ddb/artifacts,2023-07-28 12:16:29.946000+00:00,2023-07-28 12:16:33.991000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,INSERT,LOCAL,2023-07-21 11:06:37.356444,2023-07-21 11:06:37
00b21ab8a3754d559ce9f326c47c447a,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/00b21ab8a3754d559ce9f326c47c447a/artifacts,2023-07-28 12:16:25.488000+00:00,2023-07-28 12:16:29.922000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,INSERT,LOCAL,2023-07-21 10:35:48.999015,2023-07-21 10:35:48
65d3023097fd4a2a8ce4e88b44963b6d,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/65d3023097fd4a2a8ce4e88b44963b6d/artifacts,2023-07-28 12:16:21.518000+00:00,2023-07-28 12:16:25.457000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,INSERT,LOCAL,2023-07-21 10:29:17.247918,2023-07-21 10:29:17
8d8cf08efdaa442d820591f5c3121bfb,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/8d8cf08efdaa442d820591f5c3121bfb/artifacts,2023-07-28 12:16:17.346000+00:00,2023-07-28 12:16:21.486000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,INSERT,LOCAL,2023-07-21 10:27:42.389928,2023-07-21 10:27:42
27a34c57c8f440d5a23e42749d880684,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/27a34c57c8f440d5a23e42749d880684/artifacts,2023-07-28 12:16:13.019000+00:00,2023-07-28 12:16:17.315000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,INSERT,LOCAL,2023-07-21 10:22:13.638545,2023-07-21 10:22:13
4abe4ffab3f344a98a277448267f41e6,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/4abe4ffab3f344a98a277448267f41e6/artifacts,2023-07-28 12:16:08.957000+00:00,2023-07-28 12:16:12.987000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,INSERT,LOCAL,2023-07-20 18:08:22.303536,2023-07-20 18:08:22
076f44b7a7a44710817075ab2f58ff69,202011017208657217,FINISHED,file:///C:/Users/user/Desktop/Mlflow_minio_postgresql/mlruns/202011017208657217/076f44b7a7a44710817075ab2f58ff69/artifacts,2023-07-28 12:16:04.826000+00:00,2023-07-28 12:16:08.937000+00:00,565890.8193471249,1643.0,4576.0,1245.0,85398.4705882353,171922846172.88235,214556.56470588237,290031.075443244,473583.42754644214,2695448.5450095274,842949.8588235294,3825.0,246655.11764705883,485320278232.05817,1346.0,user,changes_log.py,INSERT,LOCAL,2023-07-20 17:34:12.109977,2023-07-20 17:34:12
